id,timestamp,source,message
1,2025-09-22T08:00:00Z,Twitter,"Part of the sea wall has collapsed near the Gateway of India. Water is rushing in. We need immediate evacuation from the waterfront shops! #MumbaiDeluge"
2,2025-09-22T08:05:00Z,SMS,"My grandfather is having a heart attack at our home in Colaba Causeway. We can't get out due to flooding. Need an ambulance urgently. Apartment 4B, Causeway House."
3,2025-09-22T08:10:00Z,Twitter,"We are a group of 50 people stranded on the upper floor of Phoenix Marketcity mall in Kurla. Power is out, but we are safe for now. Need food and water supplies."
4,2025-09-22T08:15:00Z,SMS,"KEM Hospital in Parel is running out of oxygen cylinders and blood bags. We have over 20 critical patients. Need immediate medical resupply."
5,2025-09-22T08:20:00Z,Twitter,"The main road into Dharavi is blocked by a landslide. No vehicles can get in or out. Requesting heavy machinery to clear the debris."
6,2025-09-22T08:25:00Z,SMS,"Our family of 4 needs food. We are in our flat near Powai Lake and have run out of everything. Not life-threatening yet, but we need help."
7,2025-09-22T08:30:00Z,Twitter,"Are there any government shelters open near Juhu Beach? We need to evacuate our home but don't know where to go."
8,2025-09-22T08:35:00Z,SMS,"Landline is down at Chhatrapati Shivaji Maharaj Terminus (CSMT). Can't contact railway authorities. This is a major communication failure."
9,2025-09-22T08:40:00Z,Twitter,"HELP!!! MUMBAI IS SINKING!!! WE ARE ALL DOOMED!!!! #MumbaiFloods #SOS"
10,2025-09-22T08:45:00Z,SMS,"Free rescue boats for all Mumbai citizens! Click here to register your location and get help fast: tiny.url/fake-rescue-link"
11,2025-09-22T08:50:00Z,Twitter,"My basement is flooded. What should I do?"
12,2025-09-22T08:55:00Z,SMS,"Electrical pole has fallen and wires are exposed near the entrance of Sanjay Gandhi National Park, Borivali. Very dangerous, sparking in the rain."